node,centrality,community,density,betwness,closeness,eign,volatility,type,name
3305,10,10,0.10650281618023553,0.0012658655596830804,0.1334833774756951,7.128469975704386e-06,2,outandin,Ko-Chih Wang
813,10,10,0.10650281618023553,0.0009533364429861248,0.12935242134319558,6.327530453289251e-06,1,,Chaoli Wang 0001
6191,12,10,0.10650281618023553,0.0015728163411032987,0.1234434081510598,1.962357808159158e-06,2,outandin,Xiaotong Liu
1808,13,10,0.10650281618023553,0.0025793851731366058,0.11633688435381717,5.955332800126402e-06,2,outandin,Francesca Samsel
1148,13,10,0.10650281618023553,0.005025708518029675,0.11950764176961082,5.681434789148691e-06,2,outgoing,Daniel F. Keefe
2518,13,10,0.10650281618023553,0.015065643778409804,0.13520744716382663,5.9792597526006226e-05,2,outgoing,James P. Ahrens
3076,15,10,0.10650281618023553,0.011087763553713742,0.14137642060176736,8.442997686671366e-06,1,incoming,Junpeng Wang
5832,17,10,0.10650281618023553,0.012971426339736636,0.15325412832048613,3.485062316778539e-05,2,outandin,Tom Peterka
2159,20,10,0.10650281618023553,0.014951984104183498,0.1533147909916778,3.693262014502477e-05,1,,Hanqi Guo 0001
2145,24,10,0.10650281618023553,0.012241697744001951,0.1351759889397308,8.235104990319117e-06,0,,Han-Wei Shen
3982,1,11,0.08909995477159656,0.0,0.12346964200679268,6.742884877161432e-07,2,outandin,Michael Ankele
2656,1,11,0.08909995477159656,0.0,0.14343572409899097,8.278601073065023e-06,2,outandin,Jens G. Magnus
255,1,11,0.08909995477159656,0.0,0.14343572409899097,8.278601073065023e-06,2,outandin,Andreas J. Lind
5745,2,11,0.08909995477159656,0.0,0.11555019897831403,5.6666805753258566e-08,2,outandin,Thomas Wilde
5262,2,11,0.08909995477159656,0.0,0.14345343221307727,8.831583370369824e-06,1,incoming,Sergej Stoppel
3617,2,11,0.08909995477159656,0.0,0.14345343221307727,8.831583370369824e-06,2,outandin,Magnus Paulson Erga
5773,2,11,0.08909995477159656,0.0,0.11555019897831403,5.6666805753258566e-08,2,outandin,Tim Gerrits
3628,2,11,0.08909995477159656,0.0,0.13436318234573613,8.260393657767541e-07,2,outandin,Maik Schulze
922,3,11,0.08909995477159656,3.3509189560144973e-07,0.11556169079322984,6.002593234977314e-08,4,outandin,Christian Rössl
